S0,Max0,Physics,29,
S1,Tom1,Physics,23,
S2,Max2,Biology,27,
S3,Max3,Biology,26,
S4,Max4,Comp.sci,25,
S5,Adam5,Comp.sci,28,
S6,Tom6,Physics,23,
S7,Bob7,Comp.sci,22,
S8,Max8,Comp.sci,22,
S9,Min9,Economics,26,
S10,Harry10,Comp.sci,20,
S11,Max11,Comp.sci,23,
S12,Adam12,Comp.sci,26,
S13,Adam13,English.literature,25,
S14,Min14,Biology,20,
S15,Bob15,Biology,20,
S16,Min16,English.literature,20,
S17,Min17,Comp.sci,27,
S18,Bob18,Biology,27,
S19,Adam19,Comp.sci,22,
S20,Min20,Comp.sci,25,
S21,Max21,English.literature,24,
S22,Bob22,English.literature,28,
S23,Harry23,Comp.sci,27,
S24,Min24,Physics,26,
S25,Harry25,Biology,21,
S26,Min26,Biology,25,
S27,Tom27,Economics,25,
S28,Tom28,Physics,21,
S29,Min29,English.literature,21,
S30,Max30,Economics,20,
S31,Bob31,Comp.sci,21,
S32,Adam32,Economics,21,
S33,Harry33,Economics,20,
S34,Max34,Comp.sci,20,
S35,Harry35,Biology,21,
S36,Min36,English.literature,25,
S37,Max37,Biology,28,
S38,Adam38,Physics,29,
S39,Bob39,Biology,27,
S40,Tom40,Economics,22,
S41,Harry41,Biology,26,
S42,Bob42,Biology,22,
S43,Max43,Economics,29,
S44,Max44,Physics,26,
S45,Min45,Comp.sci,27,
S46,Tom46,Economics,22,
S47,Bob47,Comp.sci,23,
S48,Tom48,Physics,22,
S49,Harry49,Biology,21,
S50,Bob50,Physics,21,
S51,Harry51,Physics,25,
S52,Tom52,Biology,27,
S53,Tom53,Economics,27,
S54,Tom54,Comp.sci,29,
S55,Harry55,Biology,25,
S56,Bob56,Physics,22,
S57,Min57,Physics,28,
S58,Min58,Physics,20,
S59,Adam59,Biology,28,
S60,Max60,Biology,22,
S61,Harry61,Physics,25,
S62,Min62,Physics,21,
S63,Harry63,Comp.sci,22,
S64,Harry64,Physics,23,
S65,Adam65,Biology,20,
S66,Max66,Economics,27,
S67,Max67,Comp.sci,28,
S68,Bob68,Biology,24,
S69,Adam69,Physics,26,
S70,Adam70,English.literature,27,
S71,Harry71,Comp.sci,22,
S72,Min72,Physics,25,
S73,Min73,English.literature,26,
S74,Max74,Biology,29,
S75,Min75,English.literature,23,
S76,Tom76,Biology,22,
S77,Bob77,Comp.sci,23,
S78,Min78,Comp.sci,22,
S79,Harry79,Biology,29,
S80,Max80,Economics,20,
S81,Min81,Biology,28,
S82,Tom82,English.literature,22,
S83,Min83,English.literature,26,
S84,Adam84,Biology,22,
S85,Harry85,Physics,26,
S86,Min86,Economics,20,
S87,Min87,Comp.sci,21,
S88,Adam88,English.literature,27,
S89,Adam89,Economics,27,
S90,Max90,Biology,29,
S91,Adam91,Biology,26,
S92,Tom92,Comp.sci,27,
S93,Max93,Physics,28,
S94,Tom94,English.literature,27,
S95,Tom95,Biology,25,
S96,Adam96,Economics,26,
S97,Max97,English.literature,27,
S98,Bob98,Economics,20,
S99,Max99,Economics,27,
S100,Adam100,Economics,20,
S101,Harry101,Physics,24,
S102,Adam102,English.literature,26,
S103,Tom103,Economics,23,
S104,Harry104,Comp.sci,20,
S105,Min105,English.literature,25,
S106,Harry106,Comp.sci,28,
S107,Max107,English.literature,22,
S108,Max108,Biology,27,
S109,Adam109,Economics,23,
S110,Harry110,Economics,22,
S111,Max111,Comp.sci,21,
S112,Tom112,Economics,28,
S113,Adam113,Physics,28,
S114,Adam114,English.literature,25,
S115,Harry115,Economics,20,
S116,Adam116,Comp.sci,26,
S117,Min117,Biology,23,
S118,Max118,Economics,21,
S119,Bob119,Economics,22,
S120,Adam120,Physics,22,
S121,Tom121,Economics,25,
S122,Bob122,Biology,23,
S123,Min123,Comp.sci,26,
S124,Harry124,Comp.sci,20,
S125,Max125,Biology,24,
S126,Adam126,Comp.sci,26,
S127,Tom127,English.literature,23,
S128,Tom128,Comp.sci,29,
S129,Adam129,Physics,25,
S130,Tom130,Physics,21,
S131,Adam131,Biology,22,
S132,Bob132,English.literature,24,
S133,Adam133,Biology,21,
S134,Bob134,Economics,24,
S135,Min135,Physics,28,
S136,Max136,Biology,23,
S137,Tom137,Economics,20,
S138,Adam138,Biology,27,
S139,Min139,Biology,26,
S140,Adam140,Biology,25,
S141,Adam141,Economics,20,
S142,Tom142,English.literature,29,
S143,Adam143,Economics,28,
S144,Bob144,Physics,25,
S145,Bob145,Physics,27,
S146,Adam146,Physics,27,
S147,Harry147,Physics,25,
S148,Max148,Physics,29,
S149,Bob149,Comp.sci,28,
S150,Harry150,Economics,24,
S151,Min151,Comp.sci,25,
S152,Harry152,Economics,23,
S153,Min153,Economics,26,
S154,Tom154,Biology,25,
S155,Harry155,Biology,20,
S156,Tom156,Economics,29,
S157,Harry157,Biology,21,
S158,Max158,Economics,23,
S159,Bob159,English.literature,22,
S160,Adam160,English.literature,25,
S161,Harry161,Physics,24,
S162,Harry162,English.literature,28,
S163,Min163,English.literature,22,
S164,Adam164,Economics,20,
S165,Adam165,Economics,28,
S166,Min166,Comp.sci,29,
S167,Harry167,Comp.sci,21,
S168,Bob168,Comp.sci,25,
S169,Adam169,Comp.sci,25,
S170,Adam170,Economics,26,
S171,Max171,Biology,25,
S172,Harry172,Physics,27,
S173,Min173,Comp.sci,25,
S174,Bob174,Economics,29,
S175,Tom175,Biology,23,
S176,Bob176,English.literature,20,
S177,Tom177,Biology,23,
S178,Min178,Comp.sci,22,
S179,Harry179,Biology,28,
S180,Harry180,Biology,28,
S181,Max181,Physics,22,
S182,Max182,Comp.sci,29,
S183,Harry183,Comp.sci,21,
S184,Harry184,Comp.sci,22,
S185,Max185,English.literature,26,
S186,Bob186,Comp.sci,23,
S187,Harry187,Economics,24,
S188,Max188,Comp.sci,27,
S189,Min189,Comp.sci,25,
S190,Max190,Economics,29,
S191,Min191,Economics,24,
S192,Max192,Physics,24,
S193,Max193,Economics,29,
S194,Max194,Comp.sci,23,
S195,Bob195,Comp.sci,27,
S196,Adam196,Physics,21,
S197,Adam197,English.literature,20,
S198,Adam198,Comp.sci,22,
S199,Harry199,English.literature,23,
S200,Adam200,Economics,24,
S201,Tom201,English.literature,20,
S202,Tom202,Physics,20,
S203,Adam203,Comp.sci,23,
S204,Harry204,English.literature,25,
S205,Bob205,Comp.sci,26,
S206,Harry206,English.literature,22,
S207,Adam207,Biology,20,
S208,Tom208,Comp.sci,26,
S209,Adam209,Biology,29,
S210,Min210,Economics,23,
S211,Bob211,Physics,23,
S212,Adam212,Physics,25,
S213,Max213,Physics,25,
S214,Bob214,Biology,28,
S215,Tom215,Biology,26,
S216,Tom216,Biology,28,
S217,Tom217,Economics,25,
S218,Tom218,Economics,21,
S219,Adam219,Physics,26,
S220,Harry220,Physics,24,
S221,Max221,Physics,29,
S222,Harry222,Biology,26,
S223,Max223,Economics,22,
S224,Harry224,Biology,26,
S225,Max225,Comp.sci,28,
S226,Max226,Physics,20,
S227,Adam227,Physics,21,
S228,Max228,Physics,25,
S229,Min229,English.literature,29,
S230,Adam230,Economics,21,
S231,Max231,Comp.sci,27,
S232,Bob232,Biology,22,
S233,Max233,English.literature,27,
S234,Adam234,Economics,28,
S235,Adam235,Physics,22,
S236,Adam236,Biology,20,
S237,Tom237,Economics,28,
S238,Adam238,Physics,29,
S239,Harry239,English.literature,20,
S240,Min240,Biology,27,
S241,Harry241,Physics,26,
S242,Min242,Economics,25,
S243,Max243,Economics,26,
S244,Adam244,Comp.sci,25,
S245,Min245,English.literature,21,
S246,Harry246,Economics,27,
S247,Adam247,Biology,21,
S248,Min248,Physics,24,
S249,Tom249,English.literature,27,
S250,Min250,Physics,28,
S251,Harry251,Economics,23,
S252,Harry252,Comp.sci,27,
S253,Bob253,Economics,24,
S254,Max254,Comp.sci,20,
S255,Harry255,English.literature,21,
S256,Adam256,Biology,28,
S257,Harry257,Biology,25,
S258,Harry258,Economics,20,
S259,Harry259,Physics,20,
S260,Adam260,Biology,28,
S261,Bob261,Physics,28,
S262,Tom262,Physics,26,
S263,Min263,Physics,29,
S264,Bob264,Biology,26,
S265,Max265,English.literature,26,
S266,Bob266,Physics,22,
S267,Max267,Biology,25,
S268,Harry268,Economics,20,
S269,Bob269,Biology,20,
S270,Adam270,Comp.sci,23,
S271,Adam271,Biology,24,
S272,Max272,English.literature,21,
S273,Adam273,Physics,25,
S274,Max274,Comp.sci,22,
S275,Bob275,Economics,24,
S276,Tom276,Economics,24,
S277,Min277,English.literature,23,
S278,Bob278,English.literature,26,
S279,Min279,English.literature,27,
S280,Max280,Physics,27,
S281,Harry281,Economics,21,
S282,Min282,English.literature,28,
S283,Min283,Physics,23,
S284,Bob284,Comp.sci,25,
